business_id,date,checkin
XQfwVwDr-v0ZS3_CbbE5Xw,4/15/2017 15:45,['2017-04-15 15:45:08']
XQfwVwDr-v0ZS3_CbbE5Xw,4/17/2017 15:27,['2017-04-17 15:27:01']
XQfwVwDr-v0ZS3_CbbE5Xw,4/20/2017 13:45,['2017-04-20 13:45:54']
XQfwVwDr-v0ZS3_CbbE5Xw,4/20/2017 14:14,['2017-04-20 14:14:49']
XQfwVwDr-v0ZS3_CbbE5Xw,4/20/2017 14:34,['2017-04-20 14:34:10']
XQfwVwDr-v0ZS3_CbbE5Xw,5/2/2017 15:11,['2017-05-02 15:11:00']
XQfwVwDr-v0ZS3_CbbE5Xw,5/12/2017 16:49,['2017-05-12 16:49:03']
XQfwVwDr-v0ZS3_CbbE5Xw,5/14/2017 12:29,['2017-05-14 12:29:39']
XQfwVwDr-v0ZS3_CbbE5Xw,5/17/2017 16:42,['2017-05-17 16:42:50']
XQfwVwDr-v0ZS3_CbbE5Xw,5/20/2017 16:30,['2017-05-20 16:30:32']
XQfwVwDr-v0ZS3_CbbE5Xw,5/20/2017 19:38,['2017-05-20 19:38:03']
XQfwVwDr-v0ZS3_CbbE5Xw,5/21/2017 14:05,['2017-05-21 14:05:53']
XQfwVwDr-v0ZS3_CbbE5Xw,5/28/2017 13:27,['2017-05-28 13:27:55']
XQfwVwDr-v0ZS3_CbbE5Xw,6/3/2017 14:58,['2017-06-03 14:58:35']
XQfwVwDr-v0ZS3_CbbE5Xw,6/3/2017 16:25,['2017-06-03 16:25:38']
XQfwVwDr-v0ZS3_CbbE5Xw,6/11/2017 16:42,['2017-06-11 16:42:38']
XQfwVwDr-v0ZS3_CbbE5Xw,6/17/2017 14:03,['2017-06-17 14:03:07']
XQfwVwDr-v0ZS3_CbbE5Xw,6/17/2017 16:33,['2017-06-17 16:33:31']
XQfwVwDr-v0ZS3_CbbE5Xw,6/18/2017 13:51,['2017-06-18 13:51:54']
XQfwVwDr-v0ZS3_CbbE5Xw,6/20/2017 13:58,['2017-06-20 13:58:10']
XQfwVwDr-v0ZS3_CbbE5Xw,7/1/2017 15:39,['2017-07-01 15:39:53']
XQfwVwDr-v0ZS3_CbbE5Xw,7/2/2017 17:07,['2017-07-02 17:07:28']
XQfwVwDr-v0ZS3_CbbE5Xw,7/4/2017 15:33,['2017-07-04 15:33:49']
XQfwVwDr-v0ZS3_CbbE5Xw,7/22/2017 15:23,['2017-07-22 15:23:56']
XQfwVwDr-v0ZS3_CbbE5Xw,8/7/2017 16:47,['2017-08-07 16:47:48']
XQfwVwDr-v0ZS3_CbbE5Xw,8/30/2017 16:08,['2017-08-30 16:08:20']
XQfwVwDr-v0ZS3_CbbE5Xw,9/1/2017 12:24,['2017-09-01 12:24:40']
XQfwVwDr-v0ZS3_CbbE5Xw,9/3/2017 14:25,['2017-09-03 14:25:37']
XQfwVwDr-v0ZS3_CbbE5Xw,9/10/2017 14:27,['2017-09-10 14:27:15']
XQfwVwDr-v0ZS3_CbbE5Xw,9/23/2017 13:12,['2017-09-23 13:12:24']
XQfwVwDr-v0ZS3_CbbE5Xw,10/4/2017 13:29,['2017-10-04 13:29:54']
