business_id,review_id,user_id,stars,useful,funny,cool,text,date,topic
XQfwVwDr-v0ZS3_CbbE5Xw,KU_O5udG6zpxOg-VcAEodg,mh_-eMZ6K5RLWhZyISBhwA,3,0,0,0,"If you decide to eat here, just be aware it is going to take about 2 hours from beginning to end. We have tried it multiple times, because I want to like it! I have been to it's other locations in NJ and never had a bad experience. 

The food is good, but it takes a very long time to come out. The waitstaff is very young, but usually pleasant. We have just had too many experiences where we spent way too long waiting. We usually opt for another diner or restaurant on the weekends, in order to be done quicker.",2018-07-07 22:09:11,"usually, long, pleasant, waiting, want"
XQfwVwDr-v0ZS3_CbbE5Xw,VJxlBnJmCDIy8DFG0kjSow,Iaee7y6zdSB3B-kRCo4z1w,2,0,0,0,"This is the second time we tried turning point at this location. The first time we had a long wait for food after ordering, this time we had an even longer wait of over 40 minutes. I had the omelette skillet and there was hardly any egg in it, I felt like I was eating chopped onions and chopped tomatoes. My wife had a BLT and had a hard time finding the tomato and the avocado that was supposed be on it. Overall,The experience was stressful, mainly because of the long wait.",2017-05-13 17:06:55,"time, wait, chopped, long, food"
XQfwVwDr-v0ZS3_CbbE5Xw,S6pQZQocMB1WHMjTRbt77A,ejFxLGqQcWNLdNByJlIhnQ,4,2,0,1,The place is cute and the staff was very friendly. Nice menu. Good for brunch. We had lunch and were seated right away. I really enjoyed the avocado  toast and side of bacon. Nice to have another brunch place nearby.,2017-08-08 00:58:18,"nice, brunch, place, away, avocado"
XQfwVwDr-v0ZS3_CbbE5Xw,WqgTKVqWVHDHjnjEsBvUgg,f7xa0p_1V9lx53iIGN5Sug,3,0,0,0,"We came on a Saturday morning after waiting a few months after opening hoping that they would resolve the issues from a new restaurant opening. We were seated right away and the server brought water, coffee and took our orders right away. We waited over 30 mins for breakfast. I got the freebird and came out first before my husband's dish. While it tastes good, it was just potatoes and the spicy sausage gravy was mostly a sauce. There was barely any sausage. My husband got the ny deli omelette that had way too much cheese that it overpowered everything and very little pastrami. Lastly, we were ready to go and our server spent at least 10 mins chatting at another table so I couldn't get our check. I'm not sure if we will return.",2017-11-19 02:20:23,"came, server, away, got, right"
XQfwVwDr-v0ZS3_CbbE5Xw,M0wzFFb7pefOPcxeRVbLag,dCooFVCk8M1nVaQqcfTL3Q,2,0,0,0,"Mediocre at best. The decor is very nice, and I like what the restaurant is trying to do, with healthy food options but the service is poor. My mother and I waited over an hour to get our entrees and our server never apologized for the wait or came to check to see if we needed anything. I ordered the big easy benedict, which was supposed to have chorizo sausage and I literally had maybe 5 small slices of chorizo and the rest of my dish were the eggs and vegetables. Definitely not worth the money. I will give one star for the decor and one star for the manager who did stop by our table to take our drink and food orders when our waitress disappeared and did try to keep an eye on us from time to time. Their servers definitely need some training as well. Two of the people who brought food to our table did not know what dishes they were serving us and said the wrong names when they served our food/drinks. I don't see any reason to go back here.",2017-09-09 17:49:47,"food, one, us, time, star"
XQfwVwDr-v0ZS3_CbbE5Xw,fj7N9Lp6AvEEy6LHrDZzjw,gy7Ss1uTpCjbbGsghTvNsw,2,0,0,0,When I was shown to my seat of was still wet so I had to use the napkin to finish the job. Place was full and service was poor. I ordered the Atlantic Tuna melt - not convinced that the tuna was fresh and it was cold. I ate half only - no one asked why - not the place if you are in a hurry,2017-07-29 17:12:27,"tuna, place, hurry, job, seat"
XQfwVwDr-v0ZS3_CbbE5Xw,uyS0ysaMd4mzw5rNYbgcjA,ql0XsKTjM7VeBAUqbphQDw,3,0,0,0,"Food is fantastic, service is quite awful!  Call ahead if you can so you don't have to wait.  It took us 10 minutes to have our server acknowledge us once we waited 35 minutes for a table.  It took another 10-15 to get coffee, and were never given cream. We were given a pitcher of water, but had to ask for glasses so we could drink it.  They are understaffed and we visited on a Saturday morning when they were having a special event, so they should have known better! Food was amazing and my fiancé loved his coffee!  We definitely got better service at the Warrington location, so if you're thinking about trying this place out I would say go to the Warrington one.  They also have a better waiting area and full counter service area to get coffee while you are waiting!",2018-03-24 17:50:37,"coffee, service, better, food, took"
XQfwVwDr-v0ZS3_CbbE5Xw,N44SRxMD6GXUPgkLUuu6Zw,j61H-0Coj6TIDqB7axK6lw,5,0,0,0,I went on a Thursday morning for breakfast. Staff was attentive and the omelette was excellent.,2017-05-01 16:53:48,"breakfast, staff, excellent, went, attentive"
XQfwVwDr-v0ZS3_CbbE5Xw,R10wk4xEHX9r-qs5Z_2vvw,ZeBgfIMxp9K8OFmlXmQ3yA,3,0,0,0,"Update: I deducted a star because they no longer offer their white peach pear iced tea! We moved to London for work so I guess I missed the memo. Unaware, we went for breakfast when we were in town a few weeks ago. As soon as we were seated I ordered my (what I thought was going to be first of many) White Peach Pear Iced Tea. Big smile on my face - London has great hot tea but crap iced tea...you really have to make it yourself usually over here. At any rate - denied. 
Waitress: ""Uh we don't have that any more."" 
Me: (checking the menu in disbelief, mouth agape in horror) ""What?!?"" 
Her: ""Yeah, like, I don't know why they did it...it was really popular."" 
Me: (suspicious it might actually be my own fault given how many refills I always ordered and how often we frequented Turning Point): ""Yeah, doesn't make sense"" 
My husband: (impatient and not trying to be helpful despite whatever he says) ""Just order something else""
Me: (withering glare putting him on notice...thinking that iced tea is the ONLY reason I come to Turning Point so often) ""You order first""

After trial and error I found you CAN order the (available as hot only) White Orchard tea with two accompanying glasses of ice and make your own. But, hell, I might as well be eating breakfast in London slopping the whole table up with tea drippings and condensation. Plus I miss the pure joy of having a perfect White Peach Pear Iced Tea in a takeaway cup to savor while my husband is dawdling his way across Home Depot or something. So yeah, Turning Point - one less star. Take THAT!",2018-07-21 09:26:33,"tea, iced, white, peach, london"
XQfwVwDr-v0ZS3_CbbE5Xw,BkdgkKU1uvUW0-LhfS2JVw,vTdXNj6vo0Pk6f3QfRDX8Q,1,0,1,0,"The food better be good because the iced coffee is horrible, and the service is deplorable.
Party of 3, sat at the counter when it wasn't overly busy. Waited about 10 minutes for beverages, and then another 15 just to order.
Now we have been waiting for over 30 minutes for our food.
Meanwhile, friends of a server popped in, had drinks in immediately, and magically, their food.
Do yourself a favor and go anywhere else.",2017-07-09 17:42:13,"food, minutes, overly, else, favor"
